Scenario,Total System Cost,CO2 Emissions,Grid Development,Biomass Power,Battery Power,Hydrogen Power,Imbalance Power,Flexibility Usage,Hydrogen 2045 Energy,battery 2045 Energy,Biomass Utilization 2045,Renewables Investments,Peak Reduction,RES Curtailment,Spot Market,Grid Loading,Total Imbalance,Imbalance Peak,Biomass Utilization,Fossil Fuel Utilization,SME Usage,SME Money,Flexibility Investment,Flexibility Potential,Flexibility Cost,Flexibility Duration
S43,445224692417.57263,1782.4113652072067,281994.621597998,4484.696695075841,70598.20429860729,68440.58992975205,52898.377428566746,89787819.71743627,36163782.449783504,51904572.46520619,1719464.802446575,421.16909359672263,-6.747178135621619,3416991418.9716167,36.12493648748331,28.933583079572685,6758504.655758675,52.89837742856675,1116.1271794618715,3046.6011941985985,-9.395064203300212,-571.3596533251243,95683.29798999999,15.0,70.0,3.0
S44,445159797333.0104,1781.938409279894,282001.0266418533,4466.5144874024045,70618.11486211538,68437.7913921232,53606.897100048256,90172900.75436057,36300864.66534457,52160638.03439824,1711398.0546177493,421.15799493433576,-6.746386967298656,3417009595.5113335,36.12787068293861,28.92294247634417,6762326.036145583,53.60689710004826,1114.435280796267,3045.9049335783498,-11.050731806059778,-671.4791938506822,95826.06889670852,15.0,70.0,4.0
S45,445126228630.6729,1781.4713052048126,282049.23078297806,4460.686378212087,70501.79153865464,68456.7444223278,52511.747496786425,89939487.94954252,36259537.63923606,51971008.49278466,1708941.8175218173,421.052199621895,-6.7404877701776424,3416912690.1426797,36.074363785952805,29.08478833884196,6760233.198374742,52.51174749678643,1113.81957101548,3045.0459920356407,-12.418766166493194,-754.2389075789993,95596.0401237918,15.0,70.0,5.0
S46,445109035001.2116,1781.2278289132637,282043.89334558824,4452.387920788273,70476.86633347378,68431.49777142753,53280.17897699832,90122694.86946033,36350884.78787291,52067452.18356676,1704357.8980206745,421.25501107561774,-6.739901329748809,3418216763.1275215,36.07498983345808,29.236753450228814,6775170.659482396,53.28017897699832,1113.0023649677541,3044.7336781070444,-13.300559218357826,-807.3719316335051,95736.96486965523,15.0,70.0,6.0
S47,445106574750.6046,1781.21270811485,282858.6977909674,4452.454434850757,70505.73409747874,68421.64596178319,52948.84646449369,90676440.56870717,36572059.65801974,52399878.67072177,1704502.239965668,421.2046501385893,-6.742307126220273,3416953015.0428734,36.10611607360657,29.42305342306512,6776057.820392328,52.94884646449369,1112.9548172008542,3044.821815782188,-13.58808470923883,-824.2060822629373,95837.47574991477,15.0,70.0,7.0
S48,445058663175.3264,1781.2006741252542,284289.2772597357,4452.304163904586,70522.58436177889,68412.87030074003,52698.76453143319,89823737.52009334,36186940.49876933,51934823.48172314,1701973.5396008666,421.25861074800866,-6.7453148286708595,3418214258.59054,36.10118619915224,28.332935600849886,6784256.620684307,52.69876453143319,1112.9004710195202,3044.776195701833,-13.624893919753019,-826.3512488879751,96075.16012351846,15.0,70.0,8.0
S49,445688471044.4601,1785.350968530462,280669.2175590605,4511.040206894037,70719.40989811627,68415.4476686971,54581.52084734623,89814989.2163212,35856780.05569139,52193199.39935464,1765009.7612751694,421.50393406042093,-6.358895258451691,3408768094.2678566,36.24186068994776,28.289562704116733,7018956.270402641,54.58152084734623,1118.2838157216124,3053.113593266814,-4.486988237902796,-195.67215419376518,95779.32723602283,15.0,50.0,1.0
S50,445080918924.9886,1782.6464860874148,282031.73649752664,4488.723996197879,70606.79870185403,68513.27290835536,53268.409446767895,91181202.98450974,36761366.16891939,52702155.10136116,1717681.7142291763,420.5714372078049,-6.770176396242573,3414466306.001423,36.13620375758357,29.222524378061344,6750455.355593202,53.2684094467679,1116.2426595136249,3047.191204945476,-8.563228559064914,-373.2781706116777,95781.78831014034,15.0,50.0,2.0
S51,445003304217.942,1781.7795298555527,282000.6273697486,4480.561966048247,70574.07078069545,68446.18033494105,53077.056366311306,89913370.32690455,36242374.91925871,51952684.31046342,1718311.0971824091,420.8303962266441,-6.764182884029082,3417310601.245239,36.11808007339774,28.76828570856183,6788454.849570304,53.077056366311304,1115.3190387837012,3045.6439464945806,-11.633787229126678,-506.5516035876085,95715.69936354892,15.0,50.0,3.0
S52,444888108047.25305,1781.125055219689,282013.4616336424,4464.340278445426,70557.72789483858,68436.1777252911,53191.20988696608,90184278.19756344,36348878.34678567,52123706.70779327,1711693.1429844885,420.75609763599493,-6.75654242920974,3417513821.321296,36.11920150817922,28.79305765322459,6787467.344093924,53.19120988696608,1113.8587422725977,3044.5196588040353,-13.774726200899037,-599.0678977406938,95732.58348383672,15.0,50.0,4.0
S53,444856337594.0225,1780.7914888745197,282064.98248980497,4452.719846295893,70352.49426822577,68457.21372684187,52777.917825509736,89747033.89211807,36252371.634552464,51791303.502728544,1703358.7548370657,420.74795476224506,-6.745758447356639,3418822256.2020187,36.10609140770167,28.737045143635708,6786099.800666242,52.77791782550974,1112.7774574961031,3044.081984934958,-15.522805992027735,-674.6332773580374,95621.06563133563,15.0,50.0,5.0
S54,444837954695.10126,1780.4337598788882,282043.2879737147,4452.3419218825,70360.84935344174,68376.24996782263,52939.06432321454,89787338.59462859,36220272.978153445,51867057.027021326,1700008.589453823,421.1266972024609,-6.738107260978793,3420848670.7249913,36.130192666422644,28.85772041190746,6796465.517323852,52.93906432321454,1112.513929150565,3043.476381479667,-16.714728641144525,-726.0970657508574,95634.35870801522,15.0,50.0,6.0
S55,444840666686.035,1780.4601462640253,282853.9270329126,4452.537694667517,70373.12769260036,68338.01279026773,52193.53245380506,90843756.39177679,36664692.76458936,52480681.34449732,1698382.2826900978,421.0204039265566,-6.741272432763014,3419405504.4543076,36.094554584015135,29.38465488438172,6796039.432700173,52.19353245380506,1112.384854919845,3043.6081918261025,-17.216855450897285,-747.5754709625179,95642.22753285067,15.0,50.0,7.0
S56,444794796427.7086,1780.4603819222068,284269.49796623056,4452.230796128097,70367.10846788234,68337.08557557531,53054.812863838575,89779775.59738478,36222141.373625815,51859572.53999093,1698061.683768037,421.05776412223776,-6.7404010282317275,3420712457.926667,36.08317697794069,28.700765445045896,6802415.946187565,53.05481286383858,1112.3291396869577,3043.611803715753,-17.2634159263649,-749.5460963757041,96096.14713393096,15.0,50.0,8.0
S57,445522942241.4053,1785.1589919528235,280624.5992088277,4501.199166161769,70692.2040433441,68444.75510631772,52960.521002449495,89628404.0751966,35830446.63227193,52041779.58472769,1756177.8581969698,421.1477887786311,-6.459988910489891,3408085908.4022484,36.25973321405036,28.884433550720544,7033153.251114467,52.9605210024495,1118.4506519210147,3052.7324905975665,-7.284484968614352,-64.40664227209842,95444.65570542015,15.0,10.0,1.0
S58,444745209168.8874,1782.299008018343,281921.300151807,4499.325446756821,70523.49677769787,68540.25549332931,52876.72315189712,90811106.86747144,36702835.04220124,52383622.02728115,1724649.797989057,420.0358427687777,-6.900866081458345,3411752780.125743,36.206710409801175,29.52119479091496,6752119.155057961,52.87672315189712,1117.5634599924588,3045.7787298370563,-14.159406583688666,-125.16149783473462,95672.22020429764,15.0,10.0,2.0
S59,444440755852.9162,1780.651007050235,281870.8552906871,4500.415705741974,70438.05720313877,68467.74811177248,54022.98414756609,90023202.51784903,36394644.41203804,51901504.47928718,1727053.626523806,419.71578080504224,-6.879920858522486,3412348386.2808867,36.206710409801175,29.29256193961204,6788290.547397315,54.022984147566085,1117.476687030358,3042.3827579444564,-19.87610966835651,-175.6699299554206,95860.01209178127,15.0,10.0,3.0
S60,444232740977.1338,1779.620902949972,281814.2390513045,4518.2006690899525,70403.35818070301,68392.16171811042,52722.262879511385,89754787.77666284,36303146.06196937,51715656.397011295,1735985.31768218,419.78225600122255,-6.867771311529323,3411377303.964538,36.206710409801175,28.673611196440547,6783353.492612871,52.72226287951138,1117.9466841975986,3039.9953528456726,-24.405938512220413,-215.53492261599573,95570.04449974388,15.0,10.0,4.0
S61,444207250569.6095,1779.3044558655072,281848.3613923311,4490.575878592596,70274.63249031547,68386.6767502991,52966.64800216908,89506639.90021673,36240233.1196414,51544705.771563776,1721701.0090115557,419.90457644516766,-6.842064271255312,3414812266.7381177,36.206710409801175,28.702898955306424,6804732.275245185,52.96664800216908,1117.0123514015106,3039.5524993825356,-28.336956940093785,-250.0245994415461,95593.37890274148,15.0,10.0,5.0
S62,444323499928.3725,1779.062140755473,280723.61912835855,4495.1451464824095,70207.10403149176,68362.4339051927,54212.71024551705,89476436.19928783,35944065.438413434,51781796.461707935,1750574.2991664773,421.33347086617914,-6.460870999766118,3409195757.7560043,36.206710409801175,28.52197855375206,7109262.517779303,54.21271024551705,1117.2923486124516,3038.9296733025094,-31.433413300235276,-277.02800874299743,95600.20249140849,15.0,10.0,6.0
S63,444211133955.84814,1778.8684064942422,281558.55658684013,4471.6353113969,70182.4390947785,68368.18524437753,54251.61770918493,89551701.40580228,36004918.69327292,51807233.79159555,1739548.9209338194,421.3264311561049,-6.46400155931709,3411373626.302295,36.206710409801175,28.32230782681244,7125477.970807437,54.251617709184934,1115.9558297991532,3038.566237322752,-33.03357510389732,-290.86301153741334,95766.4867893156,15.0,10.0,7.0
S64,444129236651.2223,1778.598668847192,283010.87902402144,4475.198201662451,70180.18323659721,68360.23968040953,54029.52537001134,89489112.07793982,35961572.11605036,51785366.75301895,1742173.20887051,421.2859449571086,-6.464201688069262,3411175321.876709,36.206710409801175,28.183032762062744,7126037.1644851,54.02952537001134,1116.2237045007682,3038.0100538465495,-33.18362082298997,-292.1464192538282,96011.2051025404,15.0,10.0,8.0
S65,445777795750.6377,1787.0541570682724,282199.04616555676,4490.791776508715,70767.20796912411,68485.69988772937,52547.093043540735,91923661.15872696,36927544.36608714,53272785.55409181,1723331.238548005,421.0077565637621,-6.556120527898081,3417418013.797087,36.206710409801175,28.959911975333853,6710661.342655905,52.547093043540734,1117.4629346621443,3056.1244465451146,-1.6185621493137134,-136.79985110927942,95697.96776849194,10.0,100.0,1.0
S66,445595344162.8744,1786.0957891446997,282281.49000290694,4490.229209455134,70733.17008104175,68482.40023680557,52586.24335971606,89935241.8442272,36170086.31851125,52044705.815898255,1720449.7098176952,421.1864188816052,-6.592457083253483,3419462120.064083,36.18324473925728,28.83661818081474,6721326.296609229,52.586243359716065,1117.2735118577186,3053.1802296009696,-2.984228404853254,-251.96405137027094,95714.7065779851,10.0,100.0,2.0
S67,445574889414.57935,1785.779595900167,282286.0340651567,4490.192093672782,70724.82436236998,68436.56756962762,52924.9671793601,89941523.73593883,36162001.36348876,52056649.90342045,1722872.469029619,421.2036007998826,-6.589597981486142,3419267612.1240883,36.191391963249814,28.97179759369054,6726817.085034052,52.9249671793601,1117.2596281229587,3052.299121053452,-3.9268515912313906,-331.00403216539115,95772.51705403744,10.0,100.0,3.0
S68,445583057824.78174,1785.6009136498983,282259.0864813584,4490.1836076083255,70718.88225285192,68428.63650256878,52603.80727473139,89936980.63398544,36180274.23402631,52033251.19427523,1723455.205683896,421.17813494489263,-6.591229562449218,3418466354.2674184,36.17296044242322,28.72689711260952,6734890.287733241,52.603807274731395,1117.2725933037543,3051.818209841653,-4.5818402907919165,-385.9036615081143,95700.11922382376,10.0,100.0,4.0
S69,445558267765.2471,1785.4051870764254,282282.0822426093,4490.351611158354,70707.00040452207,68448.93087789271,53233.4791771892,89959542.01414761,36206094.47495572,52027993.78100907,1725453.7581828297,421.15353956890436,-6.5960772238773515,3417465876.0977726,36.19247382612753,28.900745831578067,6736938.449663162,53.233479177189196,1117.266239606276,3051.1826400431823,-5.101170633053823,-429.31247979609526,95832.36886267431,10.0,100.0,5.0
S70,445576312616.34045,1785.383539541976,282276.16051018046,4490.042936011935,70710.67611127635,68413.30171882246,52886.71763672483,89888988.25569263,36173018.03348017,51991931.65099853,1724038.5712139322,421.288891896171,-6.591995401932604,3418436462.891757,36.14697335123055,28.698356494660825,6744287.281157921,52.88671763672483,1117.250064273956,3051.1331104393344,-5.365119993068036,-451.1976938182628,95755.3797826032,10.0,100.0,6.0
S71,445563652029.1,1785.3745340789603,282871.8010342688,4490.024620784097,70709.31286088191,68415.02368063119,52764.73793825324,89780826.11329913,36123814.02875887,51931692.10434258,1725319.980197679,421.29011821500376,-6.591194542731271,3418371825.299127,36.14237138001748,29.620873568393,6746942.077678959,52.76473793825324,1117.2643067471206,3051.142432851942,-5.440376546276602,-457.3640144994362,95850.18002696385,10.0,100.0,7.0
S72,445539843248.16736,1785.3825061893976,283790.1582554827,4490.028499461698,70708.64698190038,68412.21070616976,52384.639864668825,89812219.43618561,36138685.44758998,51952801.741691306,1720732.2469043224,421.3138028388198,-6.589118904432995,3418576915.67014,36.15307995938189,29.245607304602807,6746710.338100823,52.38463986466883,1117.2569302567827,3051.1577706523526,-5.454997541013211,-458.523329443324,95957.13686153668,10.0,100.0,8.0
S73,445896764910.96906,1786.6149273655014,281132.93895989953,4490.587875757761,70734.35322092885,68495.91023215608,54066.25133425491,89755241.2041931,35838494.52338438,52162974.56836273,1753772.1124459929,421.96526245474894,-6.1860595562260565,3411563267.2052026,36.252834013501094,28.63451154970636,7011277.400728378,54.06625133425491,1117.7565362885232,3055.568845631611,-2.474341478494493,-150.79064013445898,95784.00832459945,10.0,70.0,1.0
S74,445527416590.55225,1785.1638735958652,282348.42352844635,4488.685403563143,70699.35584718936,68512.24993871021,52155.20192949574,92073921.85292739,37022090.18452794,53331800.460372806,1720031.208026641,421.10815336135016,-6.609489265085154,3415834204.930238,36.21365740532514,29.0010347532652,6722742.757604234,52.155201929495746,1116.9704505410384,3052.2162507573876,-4.725342819733785,-287.8283554503222,95640.78332948097,10.0,70.0,2.0
S75,445466214430.57336,1784.4657321377422,282288.5580060988,4488.345060023203,70694.10425286189,68452.57567188976,53658.909866059614,90145225.1063066,36245946.36653925,52176027.13601877,1723251.603748576,421.19847784818666,-6.610031904546199,3418097896.3599906,36.15279128450422,29.20827969291589,6741911.8989868555,53.658909866059616,1116.7146433424557,3050.7567141611285,-6.289107175564854,-382.4892766554086,95916.49857138665,10.0,70.0,3.0
S76,445468943501.9267,1784.1740913084432,282269.80553783535,4485.721284238093,70658.72067556325,68431.4634674291,52779.51822943378,89925154.4089122,36198896.2986946,52004983.55791939,1721274.55229821,421.15526355813364,-6.601004049863151,3417623870.023803,36.168740391666255,29.2615797219808,6740064.261066576,52.779518229433776,1116.4227057013618,3050.2392881056885,-7.391332389413955,-449.1769514807788,95725.04583889993,10.0,70.0,4.0
S77,445479132456.4732,1783.896752687454,282317.77587162826,4484.822231588354,70635.7289541608,68436.98628225541,53556.54883282755,89902530.80444232,36190621.50919363,51991144.89343469,1720764.4018139993,421.11018400688073,-6.594505911153916,3417242624.4980416,36.15972281439089,29.05969756203012,6745378.930562869,53.55654883282755,1116.288950804454,3049.81034980816,-8.305342120361516,-504.48995537718787,95886.37243449208,10.0,70.0,5.0
S78,445463926526.0141,1783.599788765422,282356.7620513092,4485.216910988336,70598.99908544558,68409.23390224809,51850.44735030389,90096811.75405623,36244774.848667614,52133387.13885141,1718649.766537201,421.3875153827877,-6.593133198174075,3418644271.40597,36.186383611615305,28.75729168726581,6752652.680965638,51.85044735030389,1116.1605795113555,3049.331732773046,-8.900788208193422,-540.3805580408473,95540.13186005902,10.0,70.0,6.0
S79,445465205052.1071,1783.607037226287,282996.14371613826,4484.675978702383,70630.46839898947,68411.54182104042,53210.65361832286,90775008.54322585,36522353.51795839,52534359.76622386,1718295.2590436025,421.30876857386147,-6.592346373897112,3417229304.907215,36.11759364325308,28.93355360219527,6757926.776596545,53.21065361832286,1116.139136363515,3049.401527125338,-9.098050179630734,-551.924414370829,95946.69670663869,10.0,70.0,7.0
S80,445432984493.646,1783.5890325125438,283873.95265472913,4484.690176844188,70630.90755562566,68410.57458650185,53134.25500120891,89866623.36834338,36162274.631025776,51984058.41525477,1720290.322062837,421.3015336551871,-6.5949675048858465,3417902674.1271253,36.143635451009835,28.586854064061285,6759108.3545999285,53.13425500120891,1116.121189477269,3049.379152607693,-9.121014696487872,-553.2724184312133,96106.87599498195,10.0,70.0,8.0
S81,445839605469.7635,1786.4447310270994,281131.62656761,4490.48125675548,70719.87045628906,68501.88188690953,53323.72315716211,89820934.93650514,35854462.52282953,52215954.52189575,1750517.8917798584,421.7785572988099,-6.193346916314826,3410955685.224107,36.25767743087434,28.77141095618849,7017860.950115402,53.32372315716211,1117.6689065606695,3055.3478543591273,-3.005533603805937,-131.062343696129,95633.51666494524,10.0,50.0,1.0
S82,445390822307.9845,1784.7456694102411,282292.71585881687,4487.2148290573305,70687.18913131993,68522.53014061408,52437.26242454548,90223112.93050143,36334979.06559616,52166816.59273312,1721317.2721721472,420.7481345770952,-6.620043379952963,3416312120.6928606,36.155260761387964,29.11912469399268,6734303.373931508,52.43726242454548,1116.5614750667448,3051.524900268979,-5.713282656166546,-249.07697245309618,95685.38247687074,10.0,50.0,2.0
S83,445293534158.7921,1783.8714233881708,282314.9463918463,4485.250533551056,70631.84576631672,68479.89210860615,53755.38827675599,89918571.57725577,36214746.98872983,51979852.63900173,1723971.9495242126,420.77720700568165,-6.611227562660334,3417910482.2293115,36.16801322802007,28.697140876078983,6762322.713133857,53.755388276755994,1116.1999378465896,3049.7707586340593,-7.764324647286719,-338.1085427297015,95933.46461541523,10.0,50.0,3.0
S84,445259735899.8277,1783.522860605305,282314.1766871434,4484.960212589211,70636.79499165746,68428.97464026476,53042.1521425193,89849076.10622327,36196941.79677744,51931706.16187294,1720428.1475728834,420.7495336765145,-6.602114849436058,3417941567.649516,36.13509536808938,28.757894458695105,6759136.329963225,53.0421521425193,1116.074923653627,3049.015024324817,-9.19475458850696,-399.92201382752586,95781.41173483481,10.0,50.0,4.0
S85,445255746006.0732,1783.133691289681,282322.53959185927,4484.828186144412,70570.80961142125,68448.01966221703,53424.7957243349,89760444.63145489,36174658.27000807,51865203.701549366,1720582.65989745,420.68662987528074,-6.591353052782169,3417368926.2512856,36.16447609917115,28.63514106817872,6767434.011630065,53.4247957243349,1115.996457659578,3048.4938699666154,-10.36850633208388,-450.64626389802083,95850.19855519538,10.0,50.0,5.0
